Payout No,Created At,Effective Date,Gross Sales,Processing Charges,GST,Net Payout,External Ref,Beneficiary,Narrative,Payout Channel
PO-800001,2026-09-01 10:01:00,2026-09-01,1000.00,18.00,3.24,978.76,UTR356787,Merchant Store 1,Merchant payout PO-800001,IMPS
PO-800002,2026-09-01 10:02:00,2026-09-01,2000.00,36.00,6.48,1957.52,UTR571029,Merchant Store 2,Merchant payout PO-800002,NEFT-FAST
PO-800003,2026-09-01 10:03:00,2026-09-01,3000.00,54.00,9.72,2936.28,UTR476417,Merchant Store 3,Merchant payout PO-800003,IMPS
PO-800004,2026-09-01 10:04:00,2026-09-01,4000.00,72.00,12.96,3915.04,UTR-705397,Merchant Store 4,Merchant payout PO-800004,NEFT-FAST
PO-800005,2026-09-01 10:05:00,2026-09-01,5000.00,90.00,16.20,4893.80,UTR802729,Merchant Store 5,Merchant payout PO-800005,IMPS
PO-800006,2026-09-01 10:06:00,2026-09-01,6000.00,108.00,19.44,5872.56,UTR905635,Merchant Store 6,Merchant payout PO-800006,NEFT-FAST
PO-800007,2026-09-01 10:07:00,2026-09-01,7000.00,126.00,22.68,6851.32,UTR358607,Merchant Store 7,Merchant payout PO-800007,IMPS
PO-800008,2026-09-01 10:08:00,2026-09-01,8000.00,144.00,25.92,7830.08,UTR260265,Merchant Store 8,Merchant payout PO-800008,NEFT-FAST
PO-800009,2026-09-01 10:09:00,2026-09-01,9000.00,162.00,29.16,8808.84,UTR663054,Merchant Store 9,Merchant payout PO-800009,IMPS
PO-800010,2026-09-01 10:10:00,2026-09-01,10000.00,180.00,32.40,9787.60,UTR412942,Merchant Store 10,Merchant payout PO-800010,NEFT-FAST
PO-800011,2026-09-01 10:11:00,2026-09-01,11000.00,198.00,35.64,10766.36,UTR-972064,Merchant Store 11,Merchant payout PO-800011,IMPS
PO-800012,2026-09-01 10:12:00,2026-09-01,12000.00,216.00,38.88,11745.12,UTR676510,Merchant Store 12,Merchant payout PO-800012,NEFT-FAST
PO-800013,2026-09-01 10:13:00,2026-09-01,13000.00,234.00,42.12,12723.88,UTR226882,Merchant Store 13,Merchant payout PO-800013,IMPS
PO-800014,2026-09-01 10:14:00,2026-09-01,14000.00,252.00,45.36,13702.64,UTR-349565,Merchant Store 14,Merchant payout PO-800014,NEFT-FAST
PO-800015,2026-09-01 10:15:00,2026-09-01,15000.00,270.00,48.60,14681.40,UTR531071,Merchant Store 15,Merchant payout PO-800015,IMPS
