Txn ID,Txn Date,Narration,Credit,Debit,Bank Ref,Running Balance
txn_81482,2026-09-11,RAZORPAY PAYOUT REF356787,616.98,,UTR356787,100616.98
txn_10851,Sep 11 2026,RAZORPAY SETTLEMENT UTR571029,3448.27,,UTR571029,104065.25
txn_15695,2026-09-06,RAZORPAY SETTLEMENT UTR476417,586.63,,UTR476417,104651.88
txn_47930,2026-09-11,RAZORPAY SETTLEMENT UTR705397,2971.41,,UTR705397,107623.29
txn_32431,Sep 06 2026,RAZORPAY SETTLEMENT UTR802729,877.45,,UTR802729,108500.74
txn_51347,09-09-2026,RAZORPAY SETTLEMENT UTR905635,1152.80,,UTR905635,109653.54
txn_86622,2026-09-11,RAZORPAY SETTLEMENT UTR358607,2310.80,,UTR358607,111964.34
txn_65333,2026-09-02,RAZORPAY SETTLEMENT UTR260265,3609.94,,UTR260265,115574.28
txn_54587,2026-09-11,RAZORPAY PAYOUT REF663054,3485.10,,UTR663054,119059.38
txn_36071,2026-09-09,Razorpay Settlement UTR412942,4336.92,,UTR412942,123396.30
txn_84364,Sep 08 2026,RAZORPAY SETTLEMENT UTR972064,184.64,,UTR972064,123580.94
txn_80686,2026-09-03,RAZORPAY SETTLEMENT UTR676510,708.06,,UTR676510,124289.00
txn_87110,2026-09-06,RAZORPAY SETTLEMENT UTR226882,2177.52,,UTR226882,126466.52
txn_84847,Sep 01 2026,RAZORPAY SETTLEMENT UTR349565,4293.08,,UTR349565,130759.60
txn_98259,2026-09-02,RAZORPAY SETTLEMENT UTR531071,3258.67,,UTR531071,134018.27
txn_19880,2026-09-02,RAZORPAY SETTLEMENT UTR570405,1302.67,,UTR570405,135320.94
txn_73092,2026-09-09,RAZORPAY PAYOUT REF890170,3956.59,,UTR890170,139277.53
txn_38534,2026-09-07,RAZORPAY SETTLEMENT UTR577110,1334.50,,UTR577110,140612.03
txn_18981,2026-09-09,RAZORPAY SETTLEMENT UTR159642,4460.14,,UTR159642,145072.17
txn_36772,2026-09-10,RAZORPAY SETTLEMENT UTR749468,1260.16,,UTR749468,146332.33
txn_80468,11-09-2026,NEFT TRANSFER 175,1539.90,,,147872.23
txn_90173,2026-09-02,NEFT TRANSFER 409,4311.57,,,152183.80
txn_25129,2026-09-09,NEFT TRANSFER 370,131.45,,,152315.25
txn_44600,2026-09-03,NEFT TRANSFER 973,1382.85,,,153698.10
txn_31178,2026-09-02,NEFT TRANSFER 368,3050.81,,,156748.91
txn_58393,2026-09-07,NEFT TRANSFER 954,2828.59,,,159577.50
txn_99399,2026-09-01,NEFT TRANSFER 315,1524.93,,,161102.43
txn_31299,2026-09-09,NEFT TRANSFER 342,4325.29,,,165427.72
txn_42527,2026-09-07,NEFT TRANSFER 785,211.51,,,165639.23
txn_39831,01/09/2026,NEFT TRANSFER 940,4249.67,,,169888.90
txn_99065,2026-09-05,RAZORPAY SETTLEMENT UTR392683,4335.33,,UTR392683,174224.23
txn_13617,05-09-2026,RAZORPAY FEE UTR392683,,247.35,UTR392683,173976.88
txn_89457,2026-09-05,RAZORPAY SETTLEMENT UTR462479,287.46,,UTR462479,174264.34
txn_85574,2026-09-05,RAZORPAY FEE UTR462479,,10.60,UTR462479,174253.74
txn_26334,2026-09-06,RAZORPAY SETTLEMENT UTR446239,2213.36,,UTR446239,176467.10
txn_50538,2026-09-06,RAZORPAY FEE UTR446239,,123.97,UTR446239,176343.13
txn_90676,2026-09-09,RAZORPAY SETTLEMENT UTR497562,723.71,,UTR497562,177066.84
txn_10053,2026-09-09,RAZORPAY FEE UTR497562,,18.63,UTR497562,177048.21
txn_32241,2026-09-10,RAZORPAY SETTLEMENT UTR563638,3308.06,,UTR563638,180356.27
txn_97012,2026-09-10,RAZORPAY FEE UTR563638,,91.39,UTR563638,180264.88
txn_90120,2026-09-04,RAZORPAY SETTLEMENT UTR308802,3396.7,,UTR308802,183661.58
txn_64321,2026-09-04,RAZORPAY FEE UTR308802,,45.94,UTR308802,183615.64
txn_23970,2026-09-07,RAZORPAY SETTLEMENT UTR787926,2522.45,,UTR787926,186138.09
txn_77889,2026-09-07,RAZORPAY FEE UTR787926,,37.21,UTR787926,186100.88
txn_51588,2026-09-02,RAZORPAY SETTLEMENT UTR800005,2336.66,,,188437.54
txn_90301,2026-09-02,RAZORPAY FEE UTR800005,,110.72,,188326.82
txn_93579,Sep 09 2026,RAZORPAY SETTLEMENT UTR597732,2284.98,,UTR597732,190611.80
txn_45992,2026-09-09,RAZORPAY FEE UTR597732,,22.44,UTR597732,190589.36
txn_18418,2026-09-06,RAZORPAY SETTLEMENT UTR258157,4475.83,,UTR258157,195065.19
txn_71069,2026-09-06,RAZORPAY FEE UTR258157,,22.36,UTR258157,195042.83
txn_49139,2026-09-13,RAZORPAY SETTLEMENT UTR703655,185.40,,,195228.23
txn_97670,2026-09-12,RAZORPAY SETTLEMENT UTR386193,4369.07,,UTR386193,199597.30
txn_27786,06-09-2026,RAZORPAY SETTLEMENT UTR720644,2571.70,,UTR720644,202169.00
txn_80702,2026-09-08,RZP SETTLEMENT UTR542042,1381.27,,UTR542042,203550.27
txn_83920,2026-09-02,RAZORPAY SETTLEMENT UTR259784,1074.42,,UTR259784,204624.69
txn_24168,2026-09-13,RAZORPAY SETTLEMENT UTR915573,4617.58,,UTR915573,209242.27
txn_23356,2026-09-09,RAZORPAY SETTLEMENT UTR720859,4657.11,,UTR720859,213899.38
txn_74251,2026-09-11,RZP SETTLEMENT UTR488571,1755.10,,,215654.48
txn_73372,2026-09-08,RAZORPAY SETTLEMENT UTR383201,3485.05,,UTR383201,219139.53
txn_59674,2026-09-05,RAZORPAY SETTLEMENT UTR886931,1427.09,,UTR886931,220566.62
txn_82140,2026-09-08,MISC TRANSFER UTR882169,2754.21,,UTR882169,223320.83
txn_80236,2026-09-04,MISC TRANSFER UTR225362,682.41,,UTR225362,224003.24
txn_88222,2026-09-05,MISC TRANSFER UTR650121,3440.10,,,227443.34
txn_26551,2026-09-03,RAZORPAY SETTLEMENT UTR232731,1514.72,,UTR232731,228958.06
txn_11607,2026-09-03,RAZORPAY SETTLEMENT UTR232731,1514.72,,UTR232731,230472.78
txn_29887,02/09/2026,RZP SETTLEMENT UTR177680,4030.06,,UTR177680,234502.84
txn_64548,2026-09-02,RAZORPAY SETTLEMENT UTR177680,4030.06,,UTR177680,238532.90
txn_89905,08/09/2026,RAZORPAY SETTLEMENT UTR549660,1502.48,,UTR549660,240035.38
txn_44687,08/09/2026,RAZORPAY SETTLEMENT UTR549660,1502.48,,UTR549660,241537.86
txn_94886,10-09-2026,RAZORPAY BATCH UTR_BATCH_0,2603.87,,UTR_BATCH_0,244141.73
txn_52247,2026-09-02,RAZORPAY BATCH UTR_BATCH_1,2582.37,,UTR_BATCH_1,246724.10
txn_21959,2026-09-04,RAZORPAY BATCH UTR_BATCH_2,4399.84,,UTR_BATCH_2,251123.94
txn_47777,2026-09-06,RAZORPAY REFUND UTR999398,,686.63,UTR999398,250437.31
txn_77449,Sep 06 2026,RAZORPAY REFUND UTR221552,,289.78,UTR221552,250147.53
txn_81987,2026-09-10,RAZORPAY REFUND UTR755788,,768.62,UTR755788,249378.91
txn_70482,2026-09-03,RAZORPAY REFUND UTR114338,,345.21,UTR114338,249033.70
txn_71894,2026-09-05,RAZORPAY REFUND UTR386706,,533.43,,248500.27
txn_54548,2026-09-03,RAZORPAY REFUND UTR389666,,870.83,,247629.44
txn_59441,2026-09-10,TRANSFER,1000.00,,,248629.44
txn_52176,2026-09-10,TRANSFER,1000.00,,,249629.44
txn_96991,2026-09-04,TRANSFER,1000.00,,,250629.44
txn_95461,2026-09-04,TRANSFER,1000.00,,,251629.44
txn_63736,2026-09-08,TRANSFER,1000.00,,,252629.44
txn_30232,08-09-2026,TRANSFER,1000.00,,,253629.44
txn_92155,2026-09-06,TRANSFER,1000.00,,,254629.44
txn_73956,2026-09-06,TRANSFER,1000.00,,,255629.44
txn_68153,01-09-2026,TRANSFER,1000.00,,,256629.44
txn_13794,2026-09-01,TRANSFER,1000.00,,,257629.44
