Settlement Ref,Order Reference,Gross,Processing Fee,GST,Settled Amount,Settlement Date,UTR
set_356787,order_356787,645.52,24.19,4.35,616.98,2026-09-11,UTR356787
set_571029,order_571029,3536.49,74.76,13.46,3448.27,2026-09-11,UTR571029
set_476417,order_476417,600.83,12.03,2.17,586.63,2026-09-06,UTR476417
set_705397,order_705397,3130.75,135.03,24.31,2971.41,2026-09-11,UTR-705397
set_802729,order_802729,897.01,16.58,2.98,877.45,2026-09-06,UTR802729
set_905635,order_905635,1176.11,19.75,3.56,1152.80,2026-09-09,UTR905635
set_358607,order_358607,2348.37,31.84,5.73,2310.80,2026-09-11,UTR358607
set_260265,order_260265,3803.33,163.89,29.50,3609.94,2026-09-02,UTR260265
set_663054,order_663054,3631.54,124.1,22.34,3485.10,2026-09-11,UTR663054
set_412942,order_412942,4571.88,199.12,35.84,4336.92,2026-09-09,UTR412942
set_972064,order_972064,195.44,9.15,1.65,184.64,2026-09-08,UTR-972064
set_676510,order_676510,729.12,17.85,3.21,708.06,Sep 03 2026,UTR676510
set_226882,order_226882,2246.69,58.62,10.55,2177.52,2026-09-06,UTR226882
set_349565,order_349565,4312.21,16.21,2.92,4293.08,Sep 01 2026,UTR-349565
set_531071,order_531071,3329.02,59.62,10.73,3258.67,2026-09-02,UTR531071
set_570405,order_570405,1318.42,13.35,2.40,1302.67,02/09/2026,UTR-570405
set_890170,order_890170,4196.54,203.35,36.60,3956.59,2026-09-09,UTR 890170
set_577110,order_577110,1399.49,55.08,9.91,1334.50,Sep 07 2026,utr577110
set_159642,order_159642,4605.0,122.76,22.10,4460.14,2026-09-09,UTR-159642
set_749468,order_749468,1306.46,39.24,7.06,1260.16,10-09-2026,UTR749468
set_888387,order_888387,1569.99,25.5,4.59,1539.90,2026-09-11,UTR888387
set_265409,order_265409,4408.42,82.08,14.77,4311.57,2026-09-02,UTR265409
set_413921,order_413921,138.33,5.83,1.05,131.45,2026-09-09,UTR-413921
set_852470,order_852470,1434.51,43.78,7.88,1382.85,2026-09-03,UTR852470
set_146228,order_146228,3207.99,133.2,23.98,3050.81,02/09/2026,UTR146228
set_824586,order_824586,2848.44,16.82,3.03,2828.59,2026-09-07,UTR824586
set_934794,order_934794,1610.47,72.49,13.05,1524.93,2026-09-01,utr934794
set_750810,order_750810,4432.26,90.65,16.32,4325.29,2026-09-09,UTR750810
set_448321,order_448321,221.45,8.42,1.52,211.51,2026-09-07,UTR448321
set_956253,order_956253,4307.11,48.68,8.76,4249.67,2026-09-01,UTR956253
set_392683,order_392683,4335.33,209.62,37.73,4335.33,2026-09-05,UTR392683
set_462479,order_462479,287.46,8.98,1.62,287.46,2026-09-05,UTR462479
set_446239,order_446239,2213.36,105.06,18.91,2213.36,2026-09-06,UTR446239
set_497562,order_497562,723.71,15.79,2.84,723.71,2026-09-09,UTR497562
set_563638,order_563638,3308.06,77.45,13.94,3308.06,2026-09-10,UTR563638
set_308802,order_308802,3396.7,38.93,7.01,3396.7,2026-09-04,UTR 308802
set_787926,order_787926,2522.45,31.53,5.68,2522.45,2026-09-07,UTR787926
set_800005,order_800005,2336.66,93.83,16.89,2336.66,2026-09-02,UTR800005
set_597732,order_597732,2284.98,19.02,3.42,2284.98,2026-09-09,UTR597732
set_258157,order_258157,4475.83,18.95,3.41,4475.83,06/09/2026,UTR258157
set_703655,order_703655,195.71,8.74,1.57,185.40,2026-09-10,utr703655
set_386193,order_386193,4499.28,110.35,19.86,4369.07,2026-09-09,utr386193
set_720644,order_720644,2717.21,123.31,22.20,2571.70,2026-09-03,UTR 720644
set_542042,order_542042,1463.46,69.65,12.54,1381.27,2026-09-06,UTR542042
set_259784,order_259784,1076.87,2.08,0.37,1074.42,Sep 01 2026,UTR259784
set_915573,order_915573,4822.3,173.49,31.23,4617.58,2026-09-10,UTR915573
set_720859,order_720859,4713.21,47.54,8.56,4657.11,2026-09-07,UTR720859
set_488571,order_488571,1801.3,39.15,7.05,1755.10,10-09-2026,UTR 488571
set_383201,order_383201,3695.6,178.43,32.12,3485.05,2026-09-07,UTR383201
set_886931,order_886931,1466.75,33.61,6.05,1427.09,2026-09-04,UTR886931
set_725113,order_725113,4009.38,68.89,12.40,3928.09,2026-09-06,UTR725113
set_612311,order_612311,519.5,18.98,3.42,497.10,2026-09-04,UTR 612311
set_408528,order_408528,2296.06,2.96,0.53,2292.57,08/09/2026,UTR408528
set_232731,order_232731,1581.11,56.26,10.13,1514.72,2026-09-03,UTR232731
set_177680,order_177680,4128.37,83.31,15.00,4030.06,2026-09-02,UTR177680
set_549660,order_549660,1557.03,46.23,8.32,1502.48,2026-09-08,UTR549660
set_402099,order_402099,992.83,2.59,0.47,989.77,2026-09-10,UTR_BATCH_0
set_576086,order_576086,1443.22,51.03,9.19,1383.00,2026-09-10,UTR_BATCH_0
set_377405,order_377405,235.24,3.51,0.63,231.10,2026-09-10,UTR_BATCH_0
set_723948,order_723948,213.31,8.66,1.56,203.09,2026-09-02,UTR_BATCH_1
set_402630,order_402630,1523.02,43.78,7.88,1471.36,2026-09-02,UTR_BATCH_1
set_418862,order_418862,934.39,22.43,4.04,907.92,2026-09-02,UTR_BATCH_1
set_703139,order_703139,1927.63,80.73,14.53,1832.37,2026-09-04,UTR _BATCH_2
set_901909,order_901909,1215.53,2.24,0.40,1212.89,2026-09-04,UTR _BATCH_2
set_142185,order_142185,1377.34,19.29,3.47,1354.58,2026-09-04,UTR_BATCH_2
ref_999398,order_999398,686.63,0.00,0.00,686.63,Sep 06 2026,UTR999398
ref_221552,order_221552,289.78,0.00,0.00,289.78,2026-09-06,UTR221552
ref_755788,order_755788,768.62,0.00,0.00,768.62,2026-09-10,utr755788
ref_114338,order_114338,345.21,0.00,0.00,345.21,2026-09-03,UTR114338
ref_386706,order_386706,533.43,0.00,0.00,533.43,2026-09-05,UTR386706
ref_389666,order_389666,870.83,0.00,0.00,870.83,2026-09-03,UTR389666
set_791998,order_791998,1000.00,0.00,0.00,1000.00,2026-09-10,UTR791998
set_255813,order_255813,1000.00,0.00,0.00,1000.00,2026-09-10,UTR255813
set_344907,order_344907,1000.00,0.00,0.00,1000.00,Sep 04 2026,UTR344907
set_530728,order_530728,1000.00,0.00,0.00,1000.00,2026-09-04,UTR530728
set_232378,order_232378,1000.00,0.00,0.00,1000.00,2026-09-08,UTR 232378
set_718849,order_718849,1000.00,0.00,0.00,1000.00,Sep 08 2026,UTR-718849
set_516791,order_516791,1000.00,0.00,0.00,1000.00,2026-09-06,UTR516791
set_993140,order_993140,1000.00,0.00,0.00,1000.00,2026-09-06,UTR993140
set_346174,order_346174,1000.00,0.00,0.00,1000.00,2026-09-01,UTR346174
set_401338,order_401338,1000.00,0.00,0.00,1000.00,2026-09-01,UTR401338
